Timestamp (UTC),Longitude,Latitude,Pressure [dBar],Temperature [degC],Salinity [psu],PAR [microE/m2/s],CDOM [ppb],Backscatter (700nm),Chlorophyll-a [micro-gm/l]
1787365539.229309,,,135.36999702453613,10.575499534606934,34.83426446008126,0.0,1.7252000570297241,0.0001642499992158264,0.36500000953674316
1787365689.8654785,,,164.06000137329102,10.550100326538086,34.822368530634236,0.0,1.7252000570297241,0.0001642499992158264,0.36500000953674316
1787367132.2052002,,,4.429999887943268,10.460200309753418,34.80028512867058,0.0,1.7252000570297241,0.00015877500118222088,0.23360000550746918
1787367282.3417053,,,21.15999937057495,10.513099670410156,34.821516898645335,0.0,1.7252000570297241,0.00024272500013466924,0.34310001134872437
1787367432.8966064,,,41.3100004196167,10.477700233459473,34.81494986050518,0.0,1.7252000570297241,0.00017337499593850225,0.36500000953674316
1787367583.3570251,,,59.10999774932861,10.485099792480469,34.81431864527391,0.0,1.7252000570297241,0.00016242499987129122,0.357699990272522
1787367733.9710388,,,76.71999931335449,10.479700088500977,34.814199208959174,0.0,1.7252000570297241,0.00016789999790489674,0.36500000953674316
1787367884.3136292,,,96.87000274658203,10.454299926757812,34.8079955126247,0.0,1.7252000570297241,0.0001916250039357692,0.357699990272522
1787368034.5949707,,,119.9899959564209,10.456600189208984,34.807837865130175,0.0,1.7252000570297241,0.00016789999790489674,0.34310001134872437
1787368184.9327698,,,145.95999717712402,10.444700241088867,34.8075465091193,0.0,1.6344000101089478,0.00016789999790489674,0.34310001134872437
1787368335.300232,,,168.71999740600586,10.42240047454834,34.79965135761955,0.0,1.6344000101089478,0.00016789999790489674,0.37229999899864197
1787369883.0187378,,,3.7299999594688416,10.565899848937988,34.825134909403545,0.0,1.6344000101089478,0.00014965000445954502,0.34310001134872437
1787370033.371582,,,18.799999952316284,10.519399642944336,34.82040750203101,0.0,1.7252000570297241,0.0001569500018376857,0.42340001463890076
1787370184.0396118,,,35.880000591278076,10.34630012512207,34.79101346975283,0.0,1.6344000101089478,0.0001770249946275726,0.47450000047683716
1787370334.1325989,,,55.05000114440918,10.333999633789062,34.78246470034092,0.0,1.6344000101089478,0.00016607499856036156,0.43799999356269836
1787370985.840973,171.09756999999996,-45.77616666666666,,,,,,,
1787371078.196991,171.09751333333332,-45.77624333333333,,,,,,,
1787371182.0,171.09751666666665,-45.77625,,,,,,,
1787371242.0,171.09751666666665,-45.77625,,,,,,,
1787371352.0,171.09751666666665,-45.77625,,,,,,,
1787371415.0,171.09751666666665,-45.77625,,,,,,,
1787371609.0,171.07336666666666,-45.733516666666674,,,,,,,
1787371746.0045776,171.09718333333336,-45.776736666666665,,,,,,,
1787371841.220337,,,4.280000030994415,10.463500022888184,34.80174882957981,0.0,1.7252000570297241,0.00015877500118222088,0.32120001316070557
1787371991.7636414,,,17.43000030517578,10.411800384521484,34.791863601082305,0.0,1.7252000570297241,0.0001642499992158264,0.43070000410079956
1787372141.8434143,,,32.69000053405762,10.410499572753906,34.7909927300181,0.0,1.7252000570297241,0.0001697249972494319,0.43070000410079956
1787372292.123352,,,49.21000003814697,10.29640007019043,34.77477655492081,0.0,1.7252000570297241,0.00016242499987129122,0.44530001282691956
1787372442.5568542,,,65.52000045776367,10.371999740600586,34.79290356653189,0.0,1.7252000570297241,0.00017154999659396708,0.32120001316070557
1787372592.9186401,,,84.30999755859375,10.29699993133545,34.77511332157493,0.0,1.7252000570297241,0.00017519999528303742,0.43070000410079956
1787372743.2595215,,,108.9799976348877,10.358599662780762,34.79292236732097,0.0,1.7252000570297241,0.00015877500118222088,0.3357999920845032
1787372893.5534058,,,130.27000427246094,10.348699569702148,34.78693981214068,0.0,1.7252000570297241,0.0001843250065576285,0.357699990272522
1787373043.8945312,,,153.66999626159668,10.380200386047363,34.79227316119121,0.0,1.7252000570297241,0.00015877500118222088,0.37229999899864197
1787373194.2575073,,,171.00000381469727,10.399200439453125,34.79581172923753,0.0,1.7252000570297241,0.00015877500118222088,0.357699990272522
1787374458.7810059,171.09701499999997,-45.776513333333334,,,,,,,
1787374487.1064453,,,4.059999883174896,10.541899681091309,34.82167976494762,0.0,1.7252000570297241,0.00015877500118222088,0.37959998846054077
1787374637.403839,,,21.3700008392334,10.525099754333496,34.813679783610475,0.0,1.7252000570297241,0.00015512500249315053,0.43070000410079956
1787374787.958252,,,39.44000005722046,10.50409984588623,34.811777772565044,0.0,1.6344000101089478,0.00016242499987129122,0.39419999718666077
1787374938.2215881,,,56.20999813079834,10.470999717712402,34.80789216147839,0.0,1.6344000101089478,0.00016607499856036156,0.40880000591278076
1787375088.52771,,,72.50999927520752,10.431900024414062,34.80155514644523,0.0,1.7252000570297241,0.00016242499987129122,0.38690000772476196
1787375238.9981384,,,86.89999580383301,10.399100303649902,34.79510380698646,0.0,1.6344000101089478,0.0001642499992158264,0.37959998846054077
1787375389.5201416,,,98.87999534606934,10.351200103759766,34.791934453222,0.0,1.7252000570297241,0.00016060000052675605,0.39419999718666077
1787375539.9757996,,,114.56999778747559,10.359299659729004,34.78747793147866,0.0,1.6344000101089478,0.0001642499992158264,0.39419999718666077
1787375690.0872498,,,130.20999908447266,10.35949993133545,34.7855481530394,0.0,1.7252000570297241,0.0001843250065576285,0.41609999537467957
1787375840.5315552,,,143.94000053405762,10.338500022888184,34.791710333732254,0.0,1.7252000570297241,0.00015877500118222088,0.37959998846054077
1787375991.306305,,,162.57999420166016,10.347999572753906,34.78419598955025,0.0,1.7252000570297241,0.00016607499856036156,0.40149998664855957
1787377682.6689148,,,4.460000097751617,10.544500350952148,34.82173587673544,0.0,1.7252000570297241,0.00016060000052675605,0.34310001134872437
1787377833.2247925,,,22.309999465942383,10.726799964904785,34.86448230603698,0.0,1.7252000570297241,0.00014052499318495393,0.3357999920845032
1787377983.5419922,,,39.41999912261963,10.452799797058105,34.806357207079635,0.0,1.7252000570297241,0.00018250000721309334,0.3357999920845032
1787378133.9819336,,,57.91999816894531,10.718400001525879,34.85423081426837,0.0,1.6344000101089478,0.00015330000314861536,0.32850000262260437
1787378284.5343628,,,77.1500015258789,10.714699745178223,34.853881314413954,0.0,1.7252000570297241,0.00014600000577047467,0.35040000081062317
1787378434.6723022,,,97.96999931335449,10.719799995422363,34.854787045001636,0.0,1.7252000570297241,0.00014782500511500984,0.3357999920845032
1787378584.8663025,,,115.01999855041504,10.4197998046875,34.80391760251501,0.0,1.7252000570297241,0.00015512500249315053,0.34310001134872437
1787378735.1190186,,,130.74999809265137,10.416600227355957,34.800949598114535,0.0,1.7252000570297241,0.00020257500000298023,0.357699990272522
1787378885.6765747,,,152.55000114440918,10.456700325012207,34.8092647872001,0.0,1.7252000570297241,0.00014965000445954502,0.38690000772476196
1787379035.9801636,,,171.70000076293945,10.484299659729004,34.81081146812831,0.0,1.7252000570297241,0.0001642499992158264,0.37229999899864197
1787380562.3196716,,,4.189999997615814,10.831000328063965,34.889707226576974,0.0,1.7252000570297241,0.0001642499992158264,0.35040000081062317
1787380712.930603,,,22.239999771118164,10.864399909973145,34.879062897122395,0.0,1.7252000570297241,0.00017337499593850225,0.36500000953674316
1787380863.0303345,,,38.97000074386597,10.816699981689453,34.88346444381212,0.0,1.7252000570297241,0.00015330000314861536,0.37229999899864197
1787381013.4957275,,,60.35999774932861,10.868599891662598,34.886696375891525,0.0,1.7252000570297241,0.00015330000314861536,0.3357999920845032
1787381163.9493103,,,81.78000450134277,10.859100341796875,34.89249773558834,0.0,1.7252000570297241,0.00018615000590216368,0.38690000772476196
1787381314.1426392,,,107.81000137329102,10.799099922180176,34.899555881863954,0.0,1.7252000570297241,0.00015877500118222088,0.35040000081062317
1787381464.5968628,,,129.68000411987305,10.893799781799316,34.89098348445496,0.0,1.7252000570297241,0.00014782500511500984,0.36500000953674316
1787381614.9411926,,,152.36000061035156,10.781700134277344,34.87341255118686,0.0,1.7252000570297241,0.00014965000445954502,0.34310001134872437
1787381765.1595764,,,174.40000534057617,10.821100234985352,34.879943135259545,0.0,1.7252000570297241,0.0001569500018376857,0.35040000081062317
1787382989.6347656,,,4.300000071525574,10.937800407409668,34.91000633500148,0.0,1.7252000570297241,0.0001642499992158264,0.37229999899864197
1787383140.0628967,,,20.339999198913574,10.92959976196289,34.9072583048279,0.0,1.7252000570297241,0.0001843250065576285,0.3357999920845032
1787383290.436615,,,37.47999906539917,10.907400131225586,34.90264024962692,0.0,1.7252000570297241,0.0001569500018376857,0.357699990272522
1787383441.0855103,,,53.460001945495605,10.891799926757812,34.900870838383554,0.0,1.7252000570297241,0.00016789999790489674,0.32120001316070557
1787383591.5638123,,,69.14000034332275,10.871899604797363,34.895524119598704,0.0,1.7252000570297241,0.00020075000065844506,0.357699990272522
1787383741.9812927,,,83.83999824523926,10.898200035095215,34.90130009928773,0.0,1.7252000570297241,0.0001642499992158264,0.3357999920845032
1787383892.28302,,,99.72000122070312,10.88479995727539,34.89870299878267,0.0,1.7252000570297241,0.00016789999790489674,0.37229999899864197
1787384042.57016,,,113.29999923706055,10.841500282287598,34.89086058279484,0.0,1.7252000570297241,0.00015512500249315053,0.32120001316070557
1787384192.9269714,,,126.49999618530273,10.797900199890137,34.88073831996571,0.0,1.7252000570297241,0.00015512500249315053,0.3138999938964844
