Day_Index,Timestamp (UTC),Longitude,Latitude,Pressure [dBar],Temperature [degC],Salinity [psu],PAR [microE/m2/s],CDOM [ppb],Backscatter (700nm),Chlorophyll-a [micro-gm/l]
14,1774239091.7480774,,,818.5199737548828,6.66540002822876,34.41641447705722,-21292296.0,2.3529999256134033,0.000272400007816,0.0
14,1774239152.2360537,,,825.8799743652344,6.515900135040283,34.41403883256727,-21298030.0,2.262500047683716,0.0002796640037558,0.0146000003442168
14,1774239212.954895,,,833.3599853515625,6.416900157928467,34.4090398601812,-21294208.0,2.5339999198913574,0.0002506079908926,0.0
14,1774239273.5459597,,,840.4199981689453,6.315800189971924,34.40767432517197,-21296120.0,2.5339999198913574,0.0002851120079867,0.0146000003442168
14,1774239334.2009585,,,847.5199890136719,6.27839994430542,34.405566940817664,-21292296.0,2.5339999198913574,0.0002578719868324,0.0
14,1774239394.7477722,,,854.8400115966797,6.249100208282471,34.40400333632754,-21290384.0,2.5339999198913574,0.0002705839870031,0.0
14,1774239455.579559,,,862.4800109863281,6.210400104522705,34.403026714786954,-21286560.0,2.3529999256134033,0.000272400007816,0.0146000003442168
14,1774239516.210907,,,870.0599670410156,6.098800182342529,34.4029395794709,-21290384.0,2.624500036239624,0.000272400007816,-0.0073000001721084
14,1774239576.9964905,,,878.0799865722656,6.053599834442139,34.40133734824753,-21286560.0,2.5339999198913574,0.0002542400034144,0.0146000003442168
14,1774239637.6705322,,,885.5899810791016,6.014900207519531,34.40124421979459,-21286560.0,2.624500036239624,0.0002397119969828,0.0146000003442168
14,1774239698.1452026,,,893.3100128173828,5.970600128173828,34.40052020898163,-21290384.0,2.5339999198913574,0.0002378960052737,0.0073000001721084
14,1774239758.7764893,,,901.230010986328,5.924799919128418,34.40074436099708,-21288472.0,2.624500036239624,0.0002469760074745,0.0146000003442168
14,1774239819.3606873,,,909.4400024414062,5.878799915313721,34.399892268357185,-21288472.0,2.7149999141693115,0.0002215520071331,0.0073000001721084
14,1774239880.0419006,,,917.239990234375,5.774899959564209,34.39978275638275,-21294208.0,2.7149999141693115,0.0002124720049323,0.0146000003442168
14,1774239940.6445312,,,925.0299835205078,5.759399890899658,34.39740327144623,-21292296.0,2.44350004196167,0.0002124720049323,0.0146000003442168
14,1774240001.3753052,,,933.2599639892578,5.7266998291015625,34.39766456944352,-21296120.0,2.7149999141693115,0.0002052079944405,0.0073000001721084
14,1774240062.0214844,,,941.259994506836,5.640399932861328,34.399807925407515,-21292296.0,2.624500036239624,0.0002015759964706,0.0146000003442168
14,1774240122.6015625,,,949.3099975585938,5.56820011138916,34.398889463401574,-21292296.0,2.7149999141693115,0.0001797839940991,0.0073000001721084
14,1774240183.3338928,,,957.5399780273438,5.526599884033203,34.39771156718714,-21288472.0,2.624500036239624,0.0001779680023901,0.0073000001721084
14,1774240244.0736084,,,965.3299713134766,5.401000022888184,34.402493603576666,-21292296.0,2.624500036239624,0.0002506079908926,0.0073000001721084
14,1774240304.7809448,,,963.9099884033204,5.418799877166748,34.39849907587073,-21292296.0,2.8959999084472656,0.0001598079979885,0.0146000003442168
14,1774240365.399536,,,956.9200134277344,5.530200004577637,34.393569553924124,-21288472.0,2.7149999141693115,0.0001634399959584,0.0146000003442168
14,1774240426.1315308,,,947.8299713134766,5.576499938964844,34.39424803711947,-21286560.0,2.624500036239624,0.0002124720049323,0.0146000003442168
14,1774240486.7250671,,,938.6299896240234,5.655200004577637,34.396142866144494,-21288472.0,2.5339999198913574,0.0001924959942698,0.0146000003442168
14,1774240547.3418274,,,929.0899658203124,5.725399971008301,34.394568368128844,-21290384.0,2.44350004196167,0.0002015759964706,0.0146000003442168
14,1774240607.8555603,,,919.800033569336,5.757900238037109,34.39501979337851,-21290384.0,2.7149999141693115,0.0002052079944405,0.0146000003442168
14,1774240668.3069458,,,910.3399658203124,5.76639986038208,34.39571420629142,-21288472.0,2.7149999141693115,0.0002360799990128,0.0073000001721084
14,1774240728.8798523,,,900.9500122070312,5.901599884033203,34.39545155762295,-21290384.0,2.7149999141693115,0.0002378960052737,0.0
14,1774240789.4748535,,,891.510009765625,5.9679999351501465,34.39806828183711,-21286560.0,2.624500036239624,0.0002560559951234,-0.0073000001721084
14,1774240849.9696045,,,882.4600219726562,6.001800060272217,34.39814529953791,-21290384.0,2.3529999256134033,0.0002342639927519,0.0146000003442168
14,1774240910.460907,,,873.2099914550781,6.045499801635742,34.39796180566862,-21292296.0,2.3529999256134033,0.0002324480010429,0.0146000003442168
14,1774240971.052185,,,863.75,6.117599964141846,34.39632512968309,-21292296.0,2.624500036239624,0.0002342639927519,0.0073000001721084
14,1774241031.6173706,,,854.6600341796875,6.203199863433838,34.39918294900107,-21292296.0,2.44350004196167,0.0002397119969828,0.0
14,1774241092.3472595,,,845.4399871826172,6.274600028991699,34.400481132318454,-21290384.0,2.44350004196167,0.0002524240117054,0.0146000003442168
14,1774241152.8694458,,,836.1900329589844,6.29580020904541,34.40130529171683,-21299942.0,2.3529999256134033,0.0002469760074745,0.0146000003442168
14,1774241213.6867676,,,826.6200256347656,6.42110013961792,34.404167929239186,-21296120.0,2.3529999256134033,0.0002851120079867,0.0146000003442168
14,1774241274.4197693,,,817.5900268554688,6.522200107574463,34.406709762377744,-21298030.0,2.624500036239624,0.0002542400034144,0.0146000003442168
14,1774241335.031433,,,808.1900024414062,6.643199920654297,34.40875471820376,-21298030.0,2.7149999141693115,0.0002560559951234,0.0146000003442168
14,1774241395.6160889,,,799.0599822998047,6.790900230407715,34.4144740566171,-21296120.0,2.3529999256134033,0.0003105360083281,0.0146000003442168
14,1774241456.1062012,,,790.2999877929688,6.967899799346924,34.420427922534486,-21294208.0,2.44350004196167,0.000228816003073,0.0
14,1774241516.670715,,,781.3999938964844,7.147600173950195,34.42507852185516,-21298030.0,2.3529999256134033,0.0002796640037558,0.0146000003442168
14,1774241577.2633667,,,772.4900054931641,7.211299896240234,34.43002884737961,-21296120.0,2.262500047683716,0.0002887439914047,0.0146000003442168
14,1774241638.0548096,,,763.7599945068359,7.27869987487793,34.433904222009836,-21299942.0,2.44350004196167,0.0002596880076453,0.0
14,1774241698.7797852,,,754.5200347900391,7.280600070953369,34.43493173860524,-21301854.0,2.171999931335449,0.0002923760039266,0.0146000003442168
14,1774241759.38797,,,745.2400207519531,7.281199932098389,34.436293650833,-21298030.0,2.262500047683716,0.0002560559951234,0.0
14,1774241819.9573364,,,735.9799957275391,7.347000122070312,34.43468580786583,-21299942.0,2.171999931335449,0.000276031991234,0.0146000003442168
14,1774241880.55307,,,726.8000030517578,7.416299819946289,34.43885540113168,-21296120.0,2.44350004196167,0.000274215999525,0.0146000003442168
14,1774241941.2019348,,,717.7999877929688,7.520800113677979,34.44229762846364,-21296120.0,2.262500047683716,0.0002596880076453,0.0146000003442168
14,1774242001.7033386,,,708.7999725341797,7.5584001541137695,34.44524881234481,-21301854.0,2.0815000534057617,0.0002778480120468,0.0073000001721084
14,1774242062.5323792,,,699.6800231933594,7.621799945831299,34.44470248771318,-21301854.0,2.0815000534057617,0.0002705839870031,0.0146000003442168
14,1774242123.1160889,,,690.6400299072266,7.639699935913086,34.44206017298731,-21305678.0,2.0815000534057617,0.0003286960127297,0.0146000003442168
14,1774242183.6116943,,,681.8399810791016,7.674399852752685,34.44192404111244,-21303766.0,0.7239999771118164,0.0002851120079867,0.0146000003442168
14,1774242244.3241882,,,673.0300140380859,7.688799858093262,34.44035509933586,-21303766.0,2.0815000534057617,0.0003250640002079,0.0
14,1774242304.8093872,,,663.9900207519531,7.723400115966797,34.441171302329764,-21305678.0,1.991000056266785,0.0002978240081574,0.0073000001721084
14,1774242365.54776,,,654.4400024414062,7.737500190734863,34.43927619682133,-21299942.0,1.991000056266785,0.0002869279996957,0.0146000003442168
14,1774242426.2587583,,,645.1399993896484,7.76609992980957,34.44030202468643,-21303766.0,2.0815000534057617,0.0002851120079867,0.0073000001721084
14,1774242486.7582705,,,635.8100128173828,7.825200080871582,34.441087561874305,-21301854.0,1.991000056266785,0.0003032720123883,0.0073000001721084
14,1774242547.323639,,,626.0599899291992,7.840400218963623,34.44302303922768,-21303766.0,2.0815000534057617,0.0002887439914047,0.0073000001721084
14,1774242607.937744,,,616.9400024414062,7.905600070953369,34.44614213688256,-21305678.0,0.6334999799728394,0.0002869279996957,0.0073000001721084
14,1774242668.4629517,,,607.7399826049805,7.943999767303467,34.443887843964426,-21299942.0,1.628999948501587,0.0002814799954649,0.0146000003442168
14,1774242729.1405334,,,598.1800079345703,8.018600463867188,34.447866830770096,-21303766.0,1.53849995136261,0.0002215520071331,0.0146000003442168
14,1774242789.8760376,,,588.9099884033203,8.014699935913086,34.439768844702535,-21299942.0,1.4479999542236328,0.00018160000036,0.0146000003442168
14,1774242850.517395,,,579.9499893188477,8.016300201416016,34.4331870992553,-21298030.0,1.2669999599456787,0.0002233679988421,0.0073000001721084
14,1774242911.0874023,,,570.7099914550781,8.030200004577637,34.433689631674326,-21305678.0,1.4479999542236328,0.0002033920027315,0.0073000001721084
14,1774242971.6938782,,,561.7399978637695,8.037199974060059,34.433353564103996,-21303766.0,1.4479999542236328,0.0002179199946112,0.0146000003442168
14,1774243032.3239746,,,552.9000091552734,8.043399810791016,34.432994476333405,-21299942.0,1.4479999542236328,0.0002015759964706,0.0073000001721084
14,1774243093.144348,,,543.8299942016602,8.048299789428711,34.43337551068123,-21305678.0,1.4479999542236328,0.0002215520071331,0.0146000003442168
14,1774243153.7103882,,,535.0899887084961,8.056300163269043,34.43292064646191,-21305678.0,1.4479999542236328,0.0002106559986714,0.0073000001721084
14,1774243214.257721,,,526.4300155639648,8.066800117492676,34.43456471052215,-21307590.0,1.4479999542236328,0.0002070240007014,0.0073000001721084
14,1774243274.8122864,,,517.7299880981445,8.082099914550781,34.434307261386586,-21303766.0,1.2669999599456787,0.0002052079944405,0.0073000001721084
14,1774243335.4211426,,,508.8899993896485,8.087800025939941,34.43444611654887,-21301854.0,1.4479999542236328,0.0002124720049323,0.0073000001721084
14,1774243396.116272,,,500.51998138427734,8.09160041809082,34.434735042308354,-21301854.0,1.4479999542236328,0.0002033920027315,0.0073000001721084
14,1774243456.644043,,,492.3699951171875,8.11460018157959,34.4370241817709,-21301854.0,1.3574999570846558,0.0002033920027315,0.0146000003442168
14,1774243517.3618164,,,483.9099884033203,8.150799751281738,34.43719046759794,-21299942.0,1.2669999599456787,0.0001761519961291,0.0146000003442168
14,1774243577.9660645,,,475.4600143432617,8.196399688720703,34.44091565940487,-21305678.0,1.2669999599456787,0.00018160000036,0.0073000001721084
14,1774243638.4079895,,,467.0399856567383,8.207200050354004,34.440874866826356,-21309502.0,1.1764999628067017,0.0001688880001893,0.0146000003442168
14,1774243699.0239563,,,458.4299850463867,8.236300468444824,34.43803348631615,-21303766.0,1.0859999656677246,0.0001452800061088,0.0
14,1774243759.516266,,,450.00999450683594,8.280900001525879,34.4432158748557,-21303766.0,1.3574999570846558,0.000138015995617,0.0073000001721084
14,1774243820.2344666,,,441.60999298095703,8.346599578857422,34.456393291271226,-21301854.0,1.53849995136261,0.0002215520071331,0.0
14,1774243880.8418884,,,433.3300018310547,8.472399711608887,34.46564344153819,-21301854.0,1.53849995136261,0.0001707040064502,0.0073000001721084
14,1774243941.445221,,,424.8600006103515,8.488499641418457,34.46583194705963,-21298030.0,1.3574999570846558,0.0001634399959584,0.0146000003442168
14,1774244002.0525208,,,416.73999786376953,8.576800346374512,34.47660792629355,-21299942.0,1.4479999542236328,0.0001725199981592,0.0073000001721084
